brand,model,availableNow,range,rangeKm,rangeMi,batteryKwh,seats,awd,rapidCharge,segment,zeroTo100,topSpeed,efficiency,fastchargeSpeed,priceGbp,priceUsd
DS ,3 Crossback E-Tense,TRUE,280 km,280 ,173.9839332,50,5,FALSE,TRUE,J,8.7 sec,150 km/h,17 kWh,420 km/h,32350,41778.731
Audi ,e-tron 55 quattro,TRUE,370 km,370 ,229.9073403,95,5,TRUE,TRUE,J,5.7 sec,200 km/h,23.4 kWh,590 km/h,68060,87896.7676
Tesla ,Model S Performance,TRUE,510 km,510 ,316.8993069,100,5,TRUE,TRUE,E,2.6 sec,261 km/h,18.6 kWh,560 km/h,93290,120480.3034
Lexus ,UX 300e,FALSE,270 km,270 ,167.7702213,54.3,5,FALSE,TRUE,J,7.5 sec,160 km/h,19.3 kWh,190 km/h,40000,51658.4
Ford ,Mustang Mach-E ER RWD,FALSE,450 km,450 ,279.6170355,98.8,5,FALSE,TRUE,J,7.0 sec,180 km/h,20 kWh,430 km/h,46690,60298.2674
Sono ,Sion ,FALSE,225 km,225 ,139.8085178,35,5,FALSE,TRUE,B,9.0 sec,140 km/h,15.6 kWh,270 km/h,,
Nissan ,e-NV200 Evalia ,TRUE,190 km,190 ,118.0605261,40,7,FALSE,TRUE,M,14.0 sec,123 km/h,20 kWh,190 km/h,29255,37781.6623
Hyundai ,Kona Electric 39 kWh,TRUE,250 km,250 ,155.3427975,42,5,FALSE,TRUE,J,9.9 sec,155 km/h,15.7 kWh,210 km/h,,
Porsche ,Taycan 4S,TRUE,355 km,355 ,220.5867725,79.2,4,TRUE,TRUE,F,4.0 sec,250 km/h,20 kWh,710 km/h,79867,103145.0358
Porsche ,Taycan Cross Turismo ,TRUE,400 km,400 ,248.548476,96,4,TRUE,TRUE,F,3.5 sec,250 km/h,22.5 kWh,730 km/h,120000,154975.2
Ford ,Mustang Mach-E SR RWD,FALSE,360 km,360 ,223.6936284,75.7,5,FALSE,TRUE,J,6.6 sec,180 km/h,19.4 kWh,380 km/h,36770,47486.9842
Renault ,Zoe ZE40 R110,TRUE,255 km,255 ,158.4496535,44.1,5,FALSE,TRUE,B,11.4 sec,135 km/h,16.1 kWh,230 km/h,,
Tesla ,Model Y Long Range Dual Motor,FALSE,425 km,425 ,264.0827558,75,7,TRUE,TRUE,J,5.1 sec,217 km/h,17.1 kWh,930 km/h,50000,64573
Byton ,M-Byte 95 kWh,FALSE,400 km,400 ,248.548476,105,5,TRUE,TRUE,J,5.5 sec,190 km/h,23.8 kWh,520 km/h,60000,77487.6
Renault ,Kangoo Maxi ZE 33,TRUE,165 km,165 ,102.5262464,33,5,FALSE,FALSE,M,22.4 sec,130 km/h,18.8 kWh,-,25478,32903.81788
Citroen ,C-Zero ,TRUE,90 km,90 ,55.9234071,16,4,FALSE,TRUE,A,15.9 sec,130 km/h,16.1 kWh,180 km/h,17020,21980.6492
Tesla ,Cybertruck Dual Motor,TRUE,460 km,460 ,285.8307474,120,6,TRUE,TRUE,M,5.0 sec,190 km/h,26.1 kWh,710 km/h,48000,61990.08
Peugeot ,iOn ,TRUE,90 km,90 ,55.9234071,16,4,FALSE,TRUE,A,15.9 sec,130 km/h,16.1 kWh,180 km/h,16995,21948.3627
Tesla ,Cybertruck Single Motor,TRUE,390 km,390 ,242.3347641,100,6,FALSE,TRUE,M,7.0 sec,180 km/h,25.6 kWh,740 km/h,39000,50366.94
